id,plot,block,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,accumulatedCov,speciesRichness,shannon
L2_04_2020,L2_04,2,4,south,land,1,0,15,3,dry_grassland,4,2020,70,Jakob Huber,87,18,1.7679505
L2_04_2021,L2_04,2,4,south,land,1,0,15,3,dry_grassland,4,2021,70,Markus Bauer,76,15,1.63734867
L2_05_2018,L2_05,2,4,south,land,2,25,15,1,hay_meadow,4,2018,30,Jakob Huber,29.5,7,0.668277652
L2_05_2019,L2_05,2,4,south,land,2,25,15,1,hay_meadow,4,2019,70,Linda Weggler,72,25,1.818293844
L2_05_2020,L2_05,2,4,south,land,2,25,15,1,hay_meadow,4,2020,65,Jakob Huber,66.5,20,1.892051024
L2_05_2021,L2_05,2,4,south,land,2,25,15,1,hay_meadow,4,2021,70,Markus Bauer,74,14,2.118631178
L2_06_2018,L2_06,2,4,south,land,2,25,15,4,dry_grassland,8,2018,30,Jakob Huber,32.5,6,0.394992289
L2_06_2019,L2_06,2,4,south,land,2,25,15,4,dry_grassland,8,2019,70,Linda Weggler,71,22,1.712524816
L2_06_2020,L2_06,2,4,south,land,2,25,15,4,dry_grassland,8,2020,65,Jakob Huber,71.5,22,2.114982109
L2_06_2021,L2_06,2,4,south,land,2,25,15,4,dry_grassland,8,2021,80,Markus Bauer,90.5,19,2.296741207
L2_07_2018,L2_07,2,4,south,land,2,25,15,3,dry_grassland,4,2018,25,Jakob Huber,29.5,8,1.238626522
L2_07_2019,L2_07,2,4,south,land,2,25,15,3,dry_grassland,4,2019,80,Linda Weggler,80,10,1.096153658
L2_07_2020,L2_07,2,4,south,land,2,25,15,3,dry_grassland,4,2020,70,Jakob Huber,78,16,1.37325748
L2_07_2021,L2_07,2,4,south,land,2,25,15,3,dry_grassland,4,2021,80,Markus Bauer,91,15,1.772280952
L2_08_2018,L2_08,2,4,south,land,2,25,15,2,hay_meadow,8,2018,20,Jakob Huber,19.5,5,1.282897234
L2_08_2019,L2_08,2,4,south,land,2,25,15,2,hay_meadow,8,2019,60,Linda Weggler,61.5,17,1.718057785
L2_08_2020,L2_08,2,4,south,land,2,25,15,2,hay_meadow,8,2020,65,Jakob Huber,70,17,2.131968888
L2_08_2021,L2_08,2,4,south,land,2,25,15,2,hay_meadow,8,2021,80,Markus Bauer,90.5,17,2.11292317
L2_09_2018,L2_09,2,4,south,land,3,50,15,4,dry_grassland,8,2018,60,Jakob Huber,66,8,0.44909309
L2_09_2019,L2_09,2,4,south,land,3,50,15,4,dry_grassland,8,2019,60,Linda Weggler,56,17,1.9469471
L2_09_2020,L2_09,2,4,south,land,3,50,15,4,dry_grassland,8,2020,60,Jakob Huber,70.5,19,2.18889317
L2_09_2021,L2_09,2,4,south,land,3,50,15,4,dry_grassland,8,2021,80,Markus Bauer,93,23,2.488071062
L2_10_2018,L2_10,2,4,south,land,3,50,15,3,dry_grassland,4,2018,45,Jakob Huber,48.5,7,0.735504355
L2_10_2019,L2_10,2,4,south,land,3,50,15,3,dry_grassland,4,2019,40,Linda Weggler,37,10,1.84221743
L2_10_2020,L2_10,2,4,south,land,3,50,15,3,dry_grassland,4,2020,60,Jakob Huber,58,20,2.08489487
L2_10_2021,L2_10,2,4,south,land,3,50,15,3,dry_grassland,4,2021,80,Markus Bauer,90.5,17,2.180175443
L2_11_2018,L2_11,2,4,south,land,3,50,15,1,hay_meadow,4,2018,40,Jakob Huber,44.5,10,0.549736024
L2_11_2019,L2_11,2,4,south,land,3,50,15,1,hay_meadow,4,2019,60,Linda Weggler,58,12,1.695383067
L2_11_2020,L2_11,2,4,south,land,3,50,15,1,hay_meadow,4,2020,60,Jakob Huber,70.5,18,2.361644525
L2_11_2021,L2_11,2,4,south,land,3,50,15,1,hay_meadow,4,2021,70,Markus Bauer,73.5,18,2.273518156
L2_12_2018,L2_12,2,4,south,land,3,50,15,2,hay_meadow,8,2018,65,Jakob Huber,68,7,0.259864602
L2_12_2019,L2_12,2,4,south,land,3,50,15,2,hay_meadow,8,2019,30,Linda Weggler,27,12,1.598572704
L2_12_2020,L2_12,2,4,south,land,3,50,15,2,hay_meadow,8,2020,30,Jakob Huber,31,16,2.40602381
L2_12_2021,L2_12,2,4,south,land,3,50,15,2,hay_meadow,8,2021,40,Markus Bauer,46,12,1.784492455
L2_13_2018,L2_13,2,4,south,land,4,0,30,1,hay_meadow,4,2018,70,Jakob Huber,73,7,0.245045395
L2_13_2019,L2_13,2,4,south,land,4,0,30,1,hay_meadow,4,2019,50,Linda Weggler,46,10,1.535516347
L2_13_2020,L2_13,2,4,south,land,4,0,30,1,hay_meadow,4,2020,65,Jakob Huber,73.5,15,1.669147157
