id,plot,block,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,botanist,accumulatedCov,speciesRichness,shannon,surveyYearF,botanistYear
L1_15_2020,L1_15,1,4,0,30,4,dry_grassland,8,2020,Jakob_Huber,62.5,19,1.775251558,2020,Jakob_Huber2020
L1_15_2021,L1_15,1,4,0,30,4,dry_grassland,8,2021,Markus_Bauer,96.5,16,1.681084705,2021,Markus_Bauer2021
L1_16_2018,L1_16,1,4,0,30,1,hay_meadow,4,2018,Jakob_Huber,51.5,5,0.756762111,2018,Jakob_Huber2018
L1_16_2019,L1_16,1,4,0,30,1,hay_meadow,4,2019,Linda_Weggler,77,14,1.421490457,2019,Linda_Weggler2019
L1_16_2020,L1_16,1,4,0,30,1,hay_meadow,4,2020,Jakob_Huber,78.5,12,1.587928138,2020,Jakob_Huber2020
L1_16_2021,L1_16,1,4,0,30,1,hay_meadow,4,2021,Markus_Bauer,103.5,19,1.523074752,2021,Markus_Bauer2021
L1_17_2018,L1_17,1,5,25,30,1,hay_meadow,4,2018,Jakob_Huber,62.5,6,0.232321664,2018,Jakob_Huber2018
L1_17_2019,L1_17,1,5,25,30,1,hay_meadow,4,2019,Linda_Weggler,67.5,14,1.436325778,2019,Linda_Weggler2019
L1_17_2020,L1_17,1,5,25,30,1,hay_meadow,4,2020,Jakob_Huber,87.5,22,1.785911579,2020,Jakob_Huber2020
L1_17_2021,L1_17,1,5,25,30,1,hay_meadow,4,2021,Markus_Bauer,78.5,16,1.841310819,2021,Markus_Bauer2021
L1_18_2018,L1_18,1,5,25,30,3,dry_grassland,4,2018,Jakob_Huber,63,8,0.705871875,2018,Jakob_Huber2018
L1_18_2019,L1_18,1,5,25,30,3,dry_grassland,4,2019,Linda_Weggler,82,19,1.548787612,2019,Linda_Weggler2019
L1_18_2020,L1_18,1,5,25,30,3,dry_grassland,4,2020,Jakob_Huber,67.5,17,1.206509884,2020,Jakob_Huber2020
